"","Quarter","Gender","Age (bands and single year)","National - Regional - LA - OAs","Duration of Claim","Client type","value"
"41715","Nov-03","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41716","Feb-04","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41717","May-04","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41718","Aug-04","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41719","Nov-04","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41720","Feb-05","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41721","May-05","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41722","Aug-05","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41723","Nov-05","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41724","Feb-06","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41725","May-06","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41726","Aug-06","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41727","Nov-06","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41728","Feb-07","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41729","May-07","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41730","Aug-07","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41731","Nov-07","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41732","Feb-08","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41733","May-08","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41734","Aug-08","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41735","Nov-08","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41736","Feb-09","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41737","May-09","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41738","Aug-09","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41739","Nov-09","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41740","Feb-10","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41741","May-10","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41742","Aug-10","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41743","Nov-10","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41744","Feb-11","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41745","May-11","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41746","Aug-11","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41747","Nov-11","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41748","Feb-12","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41749","May-12","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41750","Aug-12","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41751","Nov-12","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41752","Feb-13","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41753","May-13","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41754","Aug-13","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41755","Nov-13","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41756","Feb-14","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41757","May-14","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41758","Aug-14","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41759","Nov-14","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41760","Feb-15","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41761","May-15","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41762","Aug-15","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41763","Nov-15","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41764","Feb-16","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41765","May-16","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41766","Aug-16","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41767","Nov-16","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41768","Feb-17","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41769","May-17","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41770","Aug-17","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41771","Nov-17","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41772","Feb-18","Unknown","50-54","E00024278","5 years and over","Over State Pension age",0
"41773","Aug-03","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41774","Nov-03","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41775","Feb-04","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41776","May-04","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41777","Aug-04","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41778","Nov-04","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41779","Feb-05","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41780","May-05","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41781","Aug-05","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41782","Nov-05","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41783","Feb-06","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41784","May-06","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41785","Aug-06","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41786","Nov-06","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41787","Feb-07","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41788","May-07","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41789","Aug-07","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41790","Nov-07","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41791","Feb-08","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41792","May-08","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41793","Aug-08","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41794","Nov-08","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41795","Feb-09","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41796","May-09","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41797","Aug-09","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41798","Nov-09","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41799","Feb-10","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41800","May-10","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41801","Aug-10","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41802","Nov-10","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41803","Feb-11","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41804","May-11","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41805","Aug-11","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41806","Nov-11","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41807","Feb-12","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41808","May-12","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41809","Aug-12","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41810","Nov-12","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41811","Feb-13","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41812","May-13","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41813","Aug-13","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41814","Nov-13","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41815","Feb-14","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41816","May-14","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41817","Aug-14","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41818","Nov-14","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41819","Feb-15","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41820","May-15","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41821","Aug-15","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41822","Nov-15","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41823","Feb-16","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41824","May-16","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41825","Aug-16","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41826","Nov-16","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41827","Feb-17","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41828","May-17","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41829","Aug-17","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41830","Nov-17","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41831","Feb-18","Male","55-59","E00024278","5 years and over","Over State Pension age",0
"41832","Aug-03","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41833","Nov-03","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41834","Feb-04","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41835","May-04","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41836","Aug-04","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41837","Nov-04","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41838","Feb-05","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41839","May-05","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41840","Aug-05","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41841","Nov-05","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41842","Feb-06","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41843","May-06","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41844","Aug-06","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41845","Nov-06","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41846","Feb-07","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41847","May-07","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41848","Aug-07","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41849","Nov-07","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41850","Feb-08","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41851","May-08","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41852","Aug-08","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41853","Nov-08","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41854","Feb-09","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41855","May-09","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41856","Aug-09","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41857","Nov-09","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41858","Feb-10","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41859","May-10","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41860","Aug-10","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41861","Nov-10","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41862","Feb-11","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41863","May-11","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41864","Aug-11","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41865","Nov-11","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41866","Feb-12","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41867","May-12","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41868","Aug-12","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41869","Nov-12","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41870","Feb-13","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41871","May-13","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41872","Aug-13","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41873","Nov-13","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41874","Feb-14","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41875","May-14","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41876","Aug-14","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41877","Nov-14","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41878","Feb-15","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41879","May-15","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41880","Aug-15","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41881","Nov-15","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41882","Feb-16","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41883","May-16","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41884","Aug-16","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41885","Nov-16","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41886","Feb-17","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41887","May-17","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41888","Aug-17","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41889","Nov-17","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41890","Feb-18","Female","55-59","E00024278","5 years and over","Over State Pension age",0
"41891","Aug-03","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41892","Nov-03","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41893","Feb-04","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41894","May-04","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41895","Aug-04","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41896","Nov-04","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41897","Feb-05","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41898","May-05","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41899","Aug-05","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41900","Nov-05","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41901","Feb-06","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41902","May-06","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41903","Aug-06","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41904","Nov-06","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41905","Feb-07","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41906","May-07","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41907","Aug-07","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41908","Nov-07","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41909","Feb-08","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41910","May-08","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41911","Aug-08","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41912","Nov-08","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41913","Feb-09","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41914","May-09","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41915","Aug-09","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41916","Nov-09","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41917","Feb-10","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41918","May-10","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41919","Aug-10","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41920","Nov-10","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41921","Feb-11","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41922","May-11","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41923","Aug-11","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41924","Nov-11","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41925","Feb-12","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41926","May-12","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41927","Aug-12","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41928","Nov-12","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41929","Feb-13","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41930","May-13","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41931","Aug-13","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41932","Nov-13","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41933","Feb-14","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41934","May-14","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41935","Aug-14","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41936","Nov-14","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41937","Feb-15","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41938","May-15","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41939","Aug-15","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41940","Nov-15","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41941","Feb-16","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41942","May-16","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41943","Aug-16","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41944","Nov-16","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41945","Feb-17","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41946","May-17","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41947","Aug-17","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41948","Nov-17","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41949","Feb-18","Unknown","55-59","E00024278","5 years and over","Over State Pension age",0
"41950","Aug-03","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41951","Nov-03","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41952","Feb-04","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41953","May-04","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41954","Aug-04","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41955","Nov-04","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41956","Feb-05","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41957","May-05","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41958","Aug-05","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41959","Nov-05","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41960","Feb-06","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41961","May-06","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41962","Aug-06","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41963","Nov-06","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41964","Feb-07","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41965","May-07","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41966","Aug-07","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41967","Nov-07","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41968","Feb-08","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41969","May-08","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41970","Aug-08","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41971","Nov-08","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41972","Feb-09","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41973","May-09","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41974","Aug-09","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41975","Nov-09","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41976","Feb-10","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41977","May-10","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41978","Aug-10","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41979","Nov-10","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41980","Feb-11","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41981","May-11","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41982","Aug-11","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41983","Nov-11","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41984","Feb-12","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41985","May-12","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41986","Aug-12","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41987","Nov-12","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41988","Feb-13","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41989","May-13","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41990","Aug-13","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41991","Nov-13","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41992","Feb-14","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41993","May-14","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41994","Aug-14","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41995","Nov-14","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41996","Feb-15","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41997","May-15","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41998","Aug-15","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"41999","Nov-15","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"42000","Feb-16","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"42001","May-16","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"42002","Aug-16","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"42003","Nov-16","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"42004","Feb-17","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"42005","May-17","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"42006","Aug-17","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"42007","Nov-17","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"42008","Feb-18","Male","60-64","E00024278","5 years and over","Over State Pension age",0
"42009","Aug-03","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42010","Nov-03","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42011","Feb-04","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42012","May-04","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42013","Aug-04","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42014","Nov-04","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42015","Feb-05","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42016","May-05","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42017","Aug-05","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42018","Nov-05","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42019","Feb-06","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42020","May-06","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42021","Aug-06","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42022","Nov-06","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42023","Feb-07","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42024","May-07","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42025","Aug-07","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42026","Nov-07","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42027","Feb-08","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42028","May-08","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42029","Aug-08","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42030","Nov-08","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42031","Feb-09","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42032","May-09","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42033","Aug-09","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42034","Nov-09","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42035","Feb-10","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42036","May-10","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42037","Aug-10","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42038","Nov-10","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42039","Feb-11","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42040","May-11","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42041","Aug-11","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42042","Nov-11","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42043","Feb-12","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42044","May-12","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42045","Aug-12","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42046","Nov-12","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42047","Feb-13","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42048","May-13","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42049","Aug-13","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42050","Nov-13","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42051","Feb-14","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42052","May-14","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42053","Aug-14","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42054","Nov-14","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42055","Feb-15","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42056","May-15","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42057","Aug-15","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42058","Nov-15","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42059","Feb-16","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42060","May-16","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42061","Aug-16","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42062","Nov-16","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42063","Feb-17","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42064","May-17","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42065","Aug-17","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42066","Nov-17","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42067","Feb-18","Female","60-64","E00024278","5 years and over","Over State Pension age",0
"42068","Aug-03","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42069","Nov-03","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42070","Feb-04","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42071","May-04","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42072","Aug-04","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42073","Nov-04","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42074","Feb-05","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42075","May-05","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42076","Aug-05","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42077","Nov-05","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42078","Feb-06","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
